,Name,PTS,AST,REB,FG_PCT,FG3_PCT,FT_PCT,STL,BLK
300,David Nwaba,1389.0,211.0,715.0,51.0,31.0,67.0,149.0,86.0
150,Devonte' Graham,2011.0,830.0,398.0,37.0,34.0,80.0,130.0,21.0
63,Thomas Bryant,1532.0,196.0,863.0,56.0,32.0,69.0,55.0,126.0
104,Hamidou Diallo,1492.0,237.0,698.0,46.0,30.0,63.0,132.0,57.0
243,Kevon Looney,1165.0,304.0,1057.0,54.0,23.0,54.0,126.0,150.0
139,Darius Garland,1561.0,518.0,226.0,43.0,38.0,86.0,99.0,10.0
409,Coby White,1669.0,429.0,460.0,40.0,35.0,85.0,79.0,17.0
280,Malik Monk,2057.0,383.0,445.0,41.0,34.0,84.0,98.0,48.0
32,DeAndre' Bembry,1374.0,437.0,745.0,47.0,24.0,57.0,220.0,91.0
79,Marquese Chriss,2234.0,303.0,1405.0,41.0,22.0,68.0,191.0,226.0
175,Tyler Herro,1446.0,283.0,455.0,43.0,37.0,84.0,68.0,26.0
390,Denzel Valentine,1678.0,435.0,794.0,39.0,35.0,80.0,147.0,28.0
173,Juancho Hernangomez,1653.0,202.0,1061.0,42.0,34.0,70.0,116.0,61.0
103,Donte DiVincenzo,1304.0,356.0,686.0,42.0,33.0,74.0,159.0,35.0
128,Yogi Ferrell,2454.0,775.0,643.0,39.0,35.0,72.0,210.0,37.0
355,JaKarr Sampson,1543.0,205.0,788.0,48.0,27.0,68.0,114.0,136.0
92,Torrey Craig,1232.0,210.0,829.0,46.0,34.0,61.0,116.0,127.0
211,Keldon Johnson,852.0,111.0,408.0,54.0,47.0,76.0,46.0,26.0
159,Rui Hachimura,1283.0,158.0,561.0,47.0,30.0,79.0,76.0,12.0
250,Thon Maker,1539.0,206.0,928.0,45.0,28.0,70.0,117.0,224.0
60,Sterling Brown,1271.0,232.0,734.0,42.0,36.0,79.0,123.0,40.0
248,Timothe Luwawu-Cabarrot,1919.0,273.0,665.0,38.0,32.0,78.0,131.0,44.0
266,Rodney McGruder,1369.0,305.0,700.0,45.0,37.0,63.0,124.0,42.0
290,Svi Mykhailiuk,1654.0,360.0,454.0,37.0,37.0,61.0,151.0,28.0
271,De'Anthony Melton,1087.0,433.0,474.0,42.0,35.0,76.0,193.0,60.0
133,Tim Frazier,1997.0,1569.0,937.0,39.0,30.0,63.0,260.0,31.0
237,Damion Lee,1313.0,248.0,554.0,43.0,35.0,85.0,120.0,15.0
46,Chris Boucher,1306.0,91.0,731.0,36.0,26.0,61.0,62.0,195.0
277,Shake Milton,1146.0,273.0,240.0,44.0,36.0,78.0,60.0,28.0
336,Naz Reid,920.0,98.0,393.0,47.0,34.0,72.0,49.0,84.0
209,Cameron Johnson,1028.0,147.0,361.0,44.0,38.0,84.0,67.0,36.0
99,Terence Davis,1239.0,219.0,427.0,43.0,37.0,83.0,91.0,34.0
20,Mo Bamba,867.0,99.0,700.0,47.0,33.0,63.0,42.0,185.0
180,Aaron Holiday,1326.0,403.0,293.0,40.0,37.0,82.0,113.0,38.0
304,Josh Okogie,1365.0,240.0,606.0,40.0,27.0,78.0,202.0,81.0
76,Alex Caruso,998.0,398.0,398.0,43.0,38.0,72.0,173.0,49.0
312,Eric Paschall,1206.0,178.0,399.0,49.0,30.0,75.0,44.0,20.0
416,Robert Williams III,617.0,117.0,536.0,72.0,0.0,63.0,70.0,159.0
61,Troy Brown Jr.,1286.0,316.0,738.0,44.0,32.0,74.0,126.0,24.0
340,Andre Roberson,1382.0,265.0,1230.0,41.0,22.0,50.0,268.0,199.0
171,Jaxson Hayes,767.0,82.0,441.0,67.0,34.0,70.0,43.0,78.0
122,Dante Exum,1548.0,555.0,508.0,43.0,30.0,75.0,114.0,52.0
191,De'Andre Hunter,1098.0,154.0,388.0,46.0,36.0,82.0,62.0,28.0
414,Kenrich Williams,863.0,271.0,654.0,42.0,35.0,54.0,116.0,53.0
17,Dwayne Bacon,1328.0,207.0,490.0,40.0,32.0,76.0,84.0,13.0
49,Tony Bradley,796.0,83.0,687.0,57.0,17.0,70.0,42.0,83.0
125,Cristiano Felicio,1069.0,182.0,980.0,58.0,0.0,68.0,70.0,50.0
88,Quinn Cook,1355.0,342.0,338.0,46.0,42.0,69.0,60.0,8.0
109,Damyean Dotson,1510.0,297.0,507.0,42.0,33.0,70.0,107.0,20.0
227,Furkan Korkmaz,1452.0,197.0,383.0,38.0,35.0,70.0,116.0,27.0
188,Danuel House Jr.,1467.0,209.0,605.0,35.0,28.0,61.0,114.0,65.0
225,Kevin Knox II,1540.0,161.0,579.0,38.0,35.0,72.0,77.0,58.0
136,Daniel Gafford,734.0,61.0,424.0,69.0,0.0,61.0,45.0,162.0
401,Brad Wanamaker,1169.0,527.0,357.0,41.0,27.0,88.0,143.0,34.0
4,Grayson Allen,1043.0,173.0,248.0,42.0,38.0,82.0,60.0,15.0
274,Darius Miller,1597.0,367.0,447.0,38.0,32.0,74.0,123.0,66.0
397,Moritz Wagner,978.0,156.0,488.0,45.0,31.0,74.0,83.0,50.0
170,Isaiah Hartenstein,584.0,125.0,479.0,56.0,23.0,68.0,52.0,98.0
399,Lonnie Walker IV,942.0,154.0,276.0,40.0,38.0,77.0,63.0,31.0
28,Darius Bazley,902.0,109.0,565.0,40.0,32.0,71.0,44.0,65.0
121,Drew Eubanks,367.0,58.0,290.0,60.0,67.0,77.0,20.0,62.0
297,Frank Ntilikina,1140.0,558.0,410.0,37.0,35.0,71.0,164.0,50.0
251,Terance Mann,484.0,150.0,272.0,48.0,38.0,74.0,36.0,18.0
366,Anfernee Simons,1052.0,180.0,275.0,42.0,37.0,72.0,40.0,16.0
144,Harry Giles III,810.0,168.0,528.0,49.0,16.0,70.0,59.0,50.0
134,Markelle Fultz,1228.0,524.0,376.0,42.0,20.0,67.0,127.0,22.0
200,Frank Jackson,1127.0,152.0,277.0,43.0,35.0,76.0,50.0,7.0
31,Jordan Bell,685.0,215.0,572.0,50.0,20.0,58.0,64.0,130.0
215,Damian Jones,640.0,81.0,436.0,65.0,3.0,65.0,50.0,102.0
13,Ryan Arcidiacono,958.0,446.0,410.0,42.0,34.0,79.0,113.0,7.0
234,Jake Layman,1084.0,118.0,378.0,41.0,28.0,72.0,92.0,64.0
108,Luguentz Dort,871.0,99.0,244.0,40.0,32.0,76.0,75.0,21.0
